distance,angle,is_header,under_pressure,is_open_play,is_goal,shot_statsbomb_xg,player,team,x,y
26.369679558159216,9.605204155012943,0,0,0,0,0.034058154,Martin Braithwaite Christensen,Barcelona,94.0,44.4
27.08449741088064,44.25205581071141,0,0,0,0,0.011698737,Robert Kenedy Nunes do Nascimento,Granada,100.6,58.9
23.05211487044085,45.35150343987335,0,0,0,0,0.028624984,Luis Javier Suárez Charris,Granada,103.8,56.4
6.794115100585213,42.614055969611194,0,0,0,0,0.22362103,Martin Braithwaite Christensen,Barcelona,115.0,44.6
21.284971223847116,7.559066981041201,0,0,0,0,0.050982397,Pedro González López,Barcelona,98.9,42.8
14.787156589419077,11.309932474020208,0,0,1,0,0.09020188,Lionel Andrés Messi Cuccittini,Barcelona,105.5,42.9
9.28493403315285,67.85481996177673,0,0,1,0,0.23502783,Antoine Griezmann,Barcelona,116.5,31.4
19.131387822110554,51.15310415119674,0,0,0,0,0.0596119,Ousmane Dembélé,Barcelona,108.0,54.9
24.84532149117817,3.4612538779541566,0,0,1,0,0.054610096,Lionel Andrés Messi Cuccittini,Barcelona,95.2,41.5
13.069812546475182,58.134022306396304,0,0,0,0,0.101339325,Lionel Andrés Messi Cuccittini,Barcelona,113.1,28.9
9.235799911215057,33.5180086452519,1,0,1,1,0.16491379,Lionel Andrés Messi Cuccittini,Barcelona,112.3,45.1
15.0,36.86989764584402,1,1,0,0,0.03680788,Antoine Griezmann,Barcelona,108.0,31.0
22.925967809451357,6.009005957494523,0,0,0,1,0.051378094,Santiago Mina Lorenzo,Celta Vigo,97.2,37.6
23.236178687555313,13.438188158350654,0,0,1,0,0.04007158,Lionel Andrés Messi Cuccittini,Barcelona,97.4,45.4
24.593698379869583,23.229180889552627,0,0,1,0,0.029657349,Moriba Kourouma Kourouma,Barcelona,97.4,49.7
2.973213749463703,42.2736890060937,1,1,0,0,0.5642073,Ronald Federico Araújo da Silva,Barcelona,117.8,38.0
23.145841959194314,29.222908464590503,0,0,0,0,0.036774643,Ousmane Dembélé,Barcelona,99.8,51.3
14.577379737113251,5.9061411137705,1,0,1,0,0.13638648,Moriba Kourouma Kourouma,Barcelona,105.5,38.5
20.000249998437514,28.35896344613004,0,0,1,0,0.07740248,Denis Suárez Fernández,Celta Vigo,102.4,30.5
33.71082912062532,18.864927839127887,0,0,0,0,0.015701557,Ronald Federico Araújo da Silva,Barcelona,88.1,50.9
16.633099530754933,50.856013585428954,0,1,0,0,0.090813234,Jordi Alba Ramos,Barcelona,109.5,27.1
18.956001688119784,16.23602417397498,0,0,0,0,0.07324356,Lionel Andrés Messi Cuccittini,Barcelona,101.8,45.3
12.609916732476858,2.2724497327829356,0,0,1,0,0.25516874,Augusto Jorge Mateo Solari,Celta Vigo,107.4,40.5
8.765842800324451,34.77783136636387,0,0,1,0,0.17842196,Martin Braithwaite Christensen,Barcelona,112.8,35.0
14.508618128546908,38.844831656726015,0,0,1,0,0.085805565,Lionel Andrés Messi Cuccittini,Barcelona,108.7,30.9
8.683893136145787,35.15417763214745,0,0,1,1,0.3457039,Santiago Mina Lorenzo,Celta Vigo,112.9,45.0
16.11117624507906,2.1342587625022973,1,1,0,0,0.027145049,Ronald Federico Araújo da Silva,Barcelona,103.9,40.6
23.217665688005763,62.00009445363875,0,1,1,0,0.008288619,Sergino Dest,Barcelona,109.1,60.5
20.67365473253339,12.288323163275336,0,0,0,0,0.07906983,Lionel Andrés Messi Cuccittini,Barcelona,99.8,35.6
7.083784299369935,48.43363036245049,0,0,0,0,0.10217343,Borja Iglesias Quintas,Real Betis,115.3,34.7
17.321951391226108,15.4001709995294,0,0,0,0,0.06957128,Ousmane Dembélé,Barcelona,103.3,44.6
9.682974749528164,51.709836807756936,1,0,1,0,0.1273561,Juan Miguel Jiménez López,Real Betis,114.0,32.4
6.762396025078688,23.532348560901028,1,0,0,0,0.16972353,Clément Lenglet,Barcelona,113.8,42.7
8.640023148117136,16.127575825959806,0,0,1,1,0.44097158,Borja Iglesias Quintas,Real Betis,111.7,42.4
11.300442469213316,0.5070290609147828,1,0,0,0,0.060599968,Martin Braithwaite Christensen,Barcelona,108.7,40.1
18.848076824970768,15.068488159492205,0,0,1,0,0.06390779,Óscar Mingueza García,Barcelona,101.8,44.9
12.2723265927859,75.85052391365481,1,0,0,0,0.018656503,Antoine Griezmann,Barcelona,117.0,28.1
9.451454914456297,29.82007256547376,0,0,1,0,0.14799254,Antoine Griezmann,Barcelona,111.8,35.3
13.514806694880987,24.47904098516313,0,0,1,0,0.3704533,Juan Miguel Jiménez López,Real Betis,107.7,34.4
22.768838354206828,45.000000000000014,0,0,1,0,0.036253028,Ousmane Dembélé,Barcelona,103.9,56.1
21.56409052104911,35.75388725443675,0,0,1,1,0.056231674,Lionel Andrés Messi Cuccittini,Barcelona,102.5,52.6
26.206869328479506,38.18178542834814,0,0,1,0,0.02668288,Nabil Fekir,Real Betis,99.4,56.2
16.58583733189253,51.60994389362998,0,0,1,0,0.13531347,Ousmane Dembélé,Barcelona,109.7,53.0
6.809552114493289,60.046391832198466,1,1,0,0,0.11360259,Óscar Mingueza García,Barcelona,116.6,34.1
4.390899680020029,30.068582821862496,1,1,0,1,0.1947324,Víctor Ruíz Torre,Real Betis,116.2,42.2
